class,support,precision,recall,f1,AP,AUC
apple,55,1.0000,1.0000,1.0000,1.0000,1.0000
can,25,1.0000,1.0000,1.0000,1.0000,1.0000
get,26,1.0000,1.0000,1.0000,1.0000,1.0000
good,25,1.0000,0.9600,0.9796,1.0000,1.0000
have,25,0.9615,1.0000,0.9804,1.0000,1.0000
help,27,1.0000,1.0000,1.0000,1.0000,1.0000
how,6,1.0000,1.0000,1.0000,1.0000,1.0000
i,12,1.0000,1.0000,1.0000,1.0000,1.0000
ily,17,1.0000,1.0000,1.0000,1.0000,1.0000
like,14,1.0000,1.0000,1.0000,1.0000,1.0000
love,24,1.0000,1.0000,1.0000,1.0000,1.0000
morning,11,1.0000,1.0000,1.0000,1.0000,1.0000
my,25,1.0000,1.0000,1.0000,1.0000,1.0000
no,16,1.0000,1.0000,1.0000,1.0000,1.0000
sad,5,1.0000,1.0000,1.0000,1.0000,1.0000
sorry,13,1.0000,1.0000,1.0000,1.0000,1.0000
thank you,6,1.0000,1.0000,1.0000,1.0000,1.0000
want,13,1.0000,1.0000,1.0000,1.0000,1.0000
you,27,1.0000,1.0000,1.0000,1.0000,1.0000
your,31,1.0000,1.0000,1.0000,1.0000,1.0000
