epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.6517,2.8437,0.42394,0.68329,2.42467,0.000136377,0.000136377,0.000136377
2,16.6654,1.88617,0.75561,0.92768,1.32896,0.000275108,0.000275108,0.000275108
3,23.972,0.90601,0.90274,0.98753,0.43883,0.00041276,0.00041276,0.00041276
4,31.0323,0.31037,0.97007,0.98753,0.17406,0.000413344,0.000413344,0.000413344
5,38.5631,0.14174,0.96758,0.98753,0.13199,0.000410515,0.000410515,0.000410515
6,45.8887,0.10159,0.98005,0.99252,0.08327,0.000406897,0.000406897,0.000406897
7,52.4775,0.08632,0.97257,0.99252,0.08738,0.000402505,0.000402505,0.000402505
8,59.9411,0.06923,0.96758,0.99252,0.09231,0.000397355,0.000397355,0.000397355
9,67.3003,0.05943,0.98504,0.99252,0.06637,0.000391468,0.000391468,0.000391468
10,74.7806,0.05868,0.98005,0.99002,0.0844,0.000384867,0.000384867,0.000384867
11,81.5304,0.05089,0.98753,0.99002,0.05378,0.000377578,0.000377578,0.000377578
12,88.5664,0.03189,0.98753,0.99002,0.05569,0.00036963,0.00036963,0.00036963
13,95.9469,0.04061,0.98254,0.99002,0.07491,0.000361055,0.000361055,0.000361055
14,102.889,0.03173,0.98504,0.99002,0.08572,0.000351886,0.000351886,0.000351886
15,109.852,0.03089,0.98504,0.99252,0.057,0.000342159,0.000342159,0.000342159
16,116.972,0.03993,0.98005,0.99002,0.06613,0.000331913,0.000331913,0.000331913
17,124.136,0.02899,0.98254,0.99002,0.05486,0.000321188,0.000321188,0.000321188
18,130.854,0.03785,0.98504,0.99252,0.07558,0.000310026,0.000310026,0.000310026
19,138.318,0.03197,0.98753,0.99252,0.06026,0.000298472,0.000298472,0.000298472
20,145.685,0.03062,0.99002,0.99252,0.05207,0.000286571,0.000286571,0.000286571
21,152.419,0.03553,0.98254,0.99252,0.05953,0.000274371,0.000274371,0.000274371
22,159.757,0.03647,0.98005,0.99252,0.06257,0.000261918,0.000261918,0.000261918
23,167.213,0.02531,0.98005,0.99501,0.05563,0.000249263,0.000249263,0.000249263
24,174.812,0.02225,0.98254,0.99252,0.05493,0.000236456,0.000236456,0.000236456
25,181.323,0.02859,0.98504,0.99252,0.06377,0.000223546,0.000223546,0.000223546
26,189.239,0.02287,0.98504,0.99501,0.05265,0.000210585,0.000210585,0.000210585
27,196.43,0.02315,0.97506,0.99501,0.06297,0.000197624,0.000197624,0.000197624
28,203.022,0.02848,0.98753,0.99252,0.04415,0.000184714,0.000184714,0.000184714
29,210.98,0.02227,0.99002,0.99252,0.04293,0.000171907,0.000171907,0.000171907
30,218.309,0.0194,0.99002,0.99501,0.04477,0.000159252,0.000159252,0.000159252
31,224.305,0.0173,0.98753,0.99501,0.0708,0.000146799,0.000146799,0.000146799
32,231.649,0.01499,0.98504,0.99252,0.05042,0.000134599,0.000134599,0.000134599
33,238.807,0.02267,0.98254,0.99252,0.05569,0.000122698,0.000122698,0.000122698
34,246.227,0.01902,0.98254,0.99501,0.05987,0.000111144,0.000111144,0.000111144
35,252.735,0.01591,0.99002,0.99501,0.05079,9.99823e-05,9.99823e-05,9.99823e-05
36,260.03,0.01982,0.98504,0.99501,0.053,8.92573e-05,8.92573e-05,8.92573e-05
37,267.331,0.02274,0.98504,0.99501,0.05607,7.90111e-05,7.90111e-05,7.90111e-05
38,274.357,0.0177,0.98504,0.99501,0.05439,6.92842e-05,6.92842e-05,6.92842e-05
39,282.142,0.01506,0.98753,0.99501,0.09217,6.01149e-05,6.01149e-05,6.01149e-05
40,288.995,0.01578,0.98504,0.99501,0.05482,5.15395e-05,5.15395e-05,5.15395e-05
41,297.902,0.02117,0.98753,0.99252,0.04731,4.35918e-05,4.35918e-05,4.35918e-05
42,305.482,0.01578,0.99002,0.99252,0.05753,3.63031e-05,3.63031e-05,3.63031e-05
43,313.798,0.02203,0.98753,0.99252,0.04794,2.97022e-05,2.97022e-05,2.97022e-05
44,321.68,0.01942,0.98753,0.99252,0.0711,2.38151e-05,2.38151e-05,2.38151e-05
45,329.184,0.01099,0.98753,0.99252,0.04898,1.86652e-05,1.86652e-05,1.86652e-05
46,337.279,0.01346,0.98753,0.99252,0.08849,1.42727e-05,1.42727e-05,1.42727e-05
47,344.941,0.02036,0.98753,0.99252,0.0865,1.06549e-05,1.06549e-05,1.06549e-05
48,353.306,0.0132,0.98753,0.99252,0.04937,7.82618e-06,7.82618e-06,7.82618e-06
49,360.501,0.00908,0.98753,0.99252,0.05047,5.79764e-06,5.79764e-06,5.79764e-06
50,369.053,0.01832,0.98504,0.99252,0.04964,4.57731e-06,4.57731e-06,4.57731e-06
